"tree" "sp" "type" "Y" "X" "X50N" "Y50N" "X50Nc" "Y50Nc" "elev" "side" "fullname" "mlim" "dden" "fsen" "habit" "DBH" "FL2010" "FL2014" "FL2015" "dead" "mort" "Xm" "Ym" "Sum_FF" "Q1" "Q2" "Q3" "Q4" "halfLife" "seedlings" "Sum_FF2" "Sum_FF3"
"39" "12IDacu1" "Dacu" "Subcanopy" 5.853366667 117.94505 604620.4319 647083.4415 604316.3929 647022.7565 34 "A1" "Dipterocarpus_acutangulus" 40 0.64 NA "dry" 52.7 0 0 0 "0" 0 398.7166 34.1819 5.5394228816374 NA NA NA NA 2.50412439318583e-18 0 0.105112388645871 0.00107762434232746
"40" "12IDcau1" "Dacu" "Subcanopy" 5.8539 117.9439667 604500.3969 647142.2033 604196.3579 647081.5183 20.64351 "A1" "Dipterocarpus_acutangulus" 40 0.64 NA "dry" 53 0 0 0 "0" 0 278.6816 92.9437 2.2179119394006 NA NA NA NA 3.54386777478918e-56 0 0.0418473950830302 0.000420498146115609
"41" "12JDacu1" "Dacu" "Subcanopy" 5.853683333 117.9457 604692.3367 647118.5721 604388.2977 647057.8871 29 "A1" "Dipterocarpus_acutangulus" 40 0.64 NA "dry" 77.5 0 0 1 "0" 0 470.6214 69.3125 31.9946632241562 NA NA NA NA 0.000117504550839832 0 0.41283436418266 0.00447985953031891
"42" "12JDacu10" "Dacu" "Subcanopy" 5.854833333 117.9464833 604778.8443 647245.8581 604474.8053 647185.1731 27.79214 "A1" "Dipterocarpus_acutangulus" 40 0.64 NA "dry" 51 0 0 0 "0" 0 557.129 196.5985 669.365278585607 NA NA NA NA 601.508599576836 0 13.1248093840315 0.176037862044923
"43" "12JDacu11" "Dacu" "Subcanopy" 5.85475 117.9465333 604784.3955 647236.6544 604480.3565 647175.9694 28 "A1" "Dipterocarpus_acutangulus" 40 0.64 NA "dry" 115 1 0 1 "0" 0 562.6802 187.3948 192.025074916289 NA NA NA NA 13229.6565623705 0 1.66978326014165 0.0200962689036851
"44" "12JDacu12" "Dacu" "Subcanopy" 5.854733333 117.9465333 604784.3986 647234.8118 604480.3596 647174.1268 28 "A1" "Dipterocarpus_acutangulus" 40 0.64 NA "dry" 77 0 0 1 "0" 0 562.6833 185.5522 2726.35015941731 NA NA NA NA 2471.01159629136 0 35.4071449274975 0.312832332449761
"45" "12JDacu13" "Dacu" "Subcanopy" 5.85485 117.9464667 604777.0034 647247.6976 604472.9644 647187.0126 26.98975 "A1" "Dipterocarpus_acutangulus" 40 0.64 NA "dry" 70.4 1 0 1 "0" 0 555.2881 198.438 165.341562843772 NA NA NA NA 4963.01755456992 0 2.34860174493994 0.0246343990932531
"46" "12JDacu14" "Dacu" "Subcanopy" 5.85335 117.945 604614.8993 647081.5896 604310.8603 647020.9046 35 "A1" "Dipterocarpus_acutangulus" 40 0.64 NA "dry" 62.3 0 0 0 "0" 0 393.184 32.33 6.0518113465438 NA NA NA NA 5.554038201874e-20 0 0.0971398289974927 0.000993682539919807
"47" "12JDacu2" "Dacu" "Subcanopy" 5.85345 117.9456833 604690.5312 647092.7725 604386.4922 647032.0875 31 "A1" "Dipterocarpus_acutangulus" 40 0.64 NA "dry" 92 1 1 1 "0" 0 468.8159 43.5129 69.2033405757151 2 9 4 5 8465.07864655294 20 0.752210223649077 0.00776558409097265
"48" "12JDacu3" "Dacu" "Subcanopy" 5.853366667 117.9457667 604699.7803 647083.5751 604395.7413 647022.8901 31 "A1" "Dipterocarpus_acutangulus" 40 0.64 NA "dry" 99 1 0 0 "0" 0 478.065 34.3155 71.6758796184108 NA NA NA NA 9802.07864690758 0 0.723998784024351 0.00792432262046625
